path	decision	reason	lineage
[].Culture and growth conditions.culture medium.growth	include	categorical	[].Culture and growth conditions.culture medium
[].Culture and growth conditions.culture medium.[].growth	include	categorical	[].Culture and growth conditions.culture medium.[]
[].Culture and growth conditions.culture pH.type	include	categorical	[].Culture and growth conditions.culture pH
[].Culture and growth conditions.culture pH.ability	include	categorical	[].Culture and growth conditions.culture pH
[].Culture and growth conditions.culture pH.PH range	include	categorical	[].Culture and growth conditions.culture pH
[].Culture and growth conditions.culture pH.[].type	include	categorical	[].Culture and growth conditions.culture pH.[]
[].Culture and growth conditions.culture pH.[].ability	include	categorical	[].Culture and growth conditions.culture pH.[]
[].Culture and growth conditions.culture pH.[].PH range	include	categorical	[].Culture and growth conditions.culture pH.[]
[].Culture and growth conditions.culture temp.type	include	categorical	[].Culture and growth conditions.culture temp
[].Culture and growth conditions.culture temp.growth	include	categorical	[].Culture and growth conditions.culture temp
[].Culture and growth conditions.culture temp.[].type	include	categorical	[].Culture and growth conditions.culture temp.[]
[].Culture and growth conditions.culture temp.[].growth	include	categorical	[].Culture and growth conditions.culture temp.[]
[].External links.literature.topic	include	categorical	[].External links.literature
[].External links.literature.topic2	include	categorical	[].External links.literature
[].External links.literature.[].topic	include	categorical	[].External links.literature.[]
[].External links.literature.[].topic2	include	categorical	[].External links.literature.[]
[].External links.phages.@ref	exclude	numeric-dominated	[].External links.phages
[].General.NCBI tax id.Matching level	include	categorical	[].General.NCBI tax id
[].General.NCBI tax id.[].Matching level	include	categorical	[].General.NCBI tax id.[]
[].Isolation, sampling and environmental information.isolation.continent	include	categorical	[].Isolation, sampling and environmental information.isolation
[].Isolation, sampling and environmental information.isolation source categories.Cat1	include	categorical	[].Isolation, sampling and environmental information.isolation source categories
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	include	categorical	[].Isolation, sampling and environmental information.isolation source categories.[]
[].Isolation, sampling and environmental information.isolation.[].continent	include	categorical	[].Isolation, sampling and environmental information.isolation.[]
[].Isolation, sampling and environmental information.taxonmaps.@ref	exclude	numeric-dominated	[].Isolation, sampling and environmental information.taxonmaps
[].Morphology.cell morphology.gram stain	include	categorical	[].Morphology.cell morphology
[].Morphology.cell morphology.motility	include	categorical	[].Morphology.cell morphology
[].Morphology.cell morphology.flagellum arrangement	include	categorical	[].Morphology.cell morphology
[].Morphology.cell morphology.[].gram stain	include	categorical	[].Morphology.cell morphology.[]
[].Morphology.cell morphology.[].motility	include	categorical	[].Morphology.cell morphology.[]
[].Morphology.cell morphology.[].flagellum arrangement	include	categorical	[].Morphology.cell morphology.[]
[].Morphology.colony morphology.hemolysis ability	exclude	numeric-dominated	[].Morphology.colony morphology
[].Morphology.colony morphology.colony shape	include	categorical	[].Morphology.colony morphology
[].Morphology.colony morphology.type of hemolysis	include	categorical	[].Morphology.colony morphology
[].Morphology.colony morphology.[].hemolysis ability	exclude	numeric-dominated	[].Morphology.colony morphology.[]
[].Morphology.colony morphology.[].type of hemolysis	include	categorical	[].Morphology.colony morphology.[]
[].Morphology.multicellular morphology.forms multicellular complex	include	categorical	[].Morphology.multicellular morphology
[].Morphology.multicellular morphology.complex size	include	categorical	[].Morphology.multicellular morphology
[].Morphology.multicellular morphology.[].forms multicellular complex	include	categorical	[].Morphology.multicellular morphology.[]
[].Morphology.multicellular morphology.[].complex size	include	categorical	[].Morphology.multicellular morphology.[]
[].Morphology.multimedia.intellectual property rights	exclude	long-text-non-biological	[].Morphology.multimedia
[].Morphology.multimedia.[].intellectual property rights	exclude	long-text-non-biological	[].Morphology.multimedia.[]
[].Morphology.pigmentation.production	include	categorical	[].Morphology.pigmentation
