path	value
[].Physiology and metabolism.metabolite utilization.[].utilization activity	-
[].Physiology and metabolism.metabolite utilization.[].utilization activity	+/-
[].Physiology and metabolism.metabolite utilization.[].utilization activity	+
[].Physiology and metabolism.enzymes.[].activity	+/-
[].Physiology and metabolism.enzymes.[].activity	+
[].Physiology and metabolism.enzymes.[].activity	-
[].Name and taxonomic classification.type strain	yes
[].Name and taxonomic classification.type strain	no
[].Name and taxonomic classification.domain	Bacteria
[].Name and taxonomic classification.domain	Archaea
[].Name and taxonomic classification.LPSN.@ref	20215
[].Name and taxonomic classification.LPSN.domain	Bacteria
[].Name and taxonomic classification.LPSN.domain	Archaea
[].Name and taxonomic classification.LPSN.description	domain/bacteria
[].Name and taxonomic classification.LPSN.description	domain/archaea
[].General.NCBI tax id.Matching level	species
[].General.NCBI tax id.Matching level	subspecies
[].General.NCBI tax id.Matching level	strain
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Host
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Host Body Product
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Climate
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Host Body-Site
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Engineered
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Infection
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Condition
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	#Environmental
[].Culture and growth conditions.culture medium.[].growth	yes
[].Culture and growth conditions.culture medium.[].growth	no
[].Culture and growth conditions.culture temp.[].type	optimum
[].Culture and growth conditions.culture temp.[].type	minimum
[].Culture and growth conditions.culture temp.[].type	maximum
[].Culture and growth conditions.culture temp.[].type	other
[].Culture and growth conditions.culture temp.[].type	growth
[].Culture and growth conditions.culture temp.[].growth	no
[].Culture and growth conditions.culture temp.[].growth	positive
[].Culture and growth conditions.culture temp.[].growth	inconsistent
[].Sequence information.Genome sequences.[].database	img
[].Sequence information.Genome sequences.[].database	patric
[].Sequence information.Genome sequences.[].database	ncbi
[].Sequence information.Genome sequences.[].assembly level	chromosome
[].Sequence information.Genome sequences.[].assembly level	complete
[].Sequence information.Genome sequences.[].assembly level	contig
[].Sequence information.Genome sequences.[].assembly level	wgs
[].Sequence information.Genome sequences.[].assembly level	draft
[].Sequence information.Genome sequences.[].assembly level	plasmid
[].Sequence information.Genome sequences.[].assembly level	scaffold
[].External links.literature.[].topic	Metabolism
[].External links.literature.[].topic	Proteome
[].External links.literature.[].topic	Pathogenicity
[].External links.literature.[].topic	Stress
[].External links.literature.[].topic	Phenotype
[].External links.literature.[].topic	Phylogeny
[].External links.literature.[].topic	Enzymology
[].External links.literature.[].topic	Transcriptome
[].External links.literature.[].topic	Lipids
[].External links.literature.[].topic	Biotechnology
[].External links.literature.[].topic	Genetics
[].External links.literature.[].topic	Physiology
[].External links.literature.[].topic	Cultivation
[].Isolation, sampling and environmental information.isolation.continent	North America
[].Isolation, sampling and environmental information.isolation.continent	Asia
[].Isolation, sampling and environmental information.isolation.continent	Middle and South America
[].Isolation, sampling and environmental information.isolation.continent	Europe
[].Isolation, sampling and environmental information.isolation.continent	Africa
[].Isolation, sampling and environmental information.isolation.continent	Antarctica
[].Isolation, sampling and environmental information.isolation.continent	Australia and Oceania
[].Isolation, sampling and environmental information.isolation.continent	Arctic
[].External links.literature.[].topic2	Pathogenicity
[].External links.literature.[].topic2	Metabolism
[].External links.literature.[].topic2	Genetics
[].External links.literature.[].topic2	Cultivation
[].External links.literature.[].topic2	Phenotype
[].External links.literature.[].topic2	Biotechnology
[].External links.literature.[].topic2	Physiology
[].External links.literature.[].topic2	Lipids
[].External links.literature.[].topic2	Transcriptome
[].External links.literature.[].topic2	Phylogeny
[].External links.literature.[].topic2	Enzymology
[].External links.literature.[].topic2	Stress
[].External links.literature.[].topic2	Proteome
[].Culture and growth conditions.culture temp.type	optimum
[].Culture and growth conditions.culture temp.type	growth
[].Culture and growth conditions.culture temp.growth	no
[].Culture and growth conditions.culture temp.growth	positive
[].Isolation, sampling and environmental information.isolation.[].continent	Africa
[].Isolation, sampling and environmental information.isolation.[].continent	Australia and Oceania
[].Isolation, sampling and environmental information.isolation.[].continent	Antarctica
[].Isolation, sampling and environmental information.isolation.[].continent	North America
[].Isolation, sampling and environmental information.isolation.[].continent	Middle and South America
[].Isolation, sampling and environmental information.isolation.[].continent	Arctic
[].Isolation, sampling and environmental information.isolation.[].continent	Asia
