node_id	name
NCBITaxon:1	root
NCBITaxon:100	Ancylobacter aquaticus
NCBITaxon:100053	Leptospira alexanderi
NCBITaxon:1000560	Escherichia coli VDP
NCBITaxon:1000561	Pseudomonas aeruginosa AES-1R
NCBITaxon:1000562	Streptococcus phocae subsp. salmonis
NCBITaxon:1000565	Methyloversatilis universalis FAM5
NCBITaxon:1000566	Halosaccharopolyspora lacisalsi
NCBITaxon:1000567	Bifidobacterium longum 3_1_37DFAAB
NCBITaxon:1000568	Megasphaera lornae
NCBITaxon:1000569	Megasphaera sp. UPII 135-E
NCBITaxon:1000570	Streptococcus anginosus SK52 = DSM 20563
NCBITaxon:1000588	Streptococcus mitis bv. 2 str. SK95
NCBITaxon:1000589	Streptococcus dysgalactiae subsp. equisimilis SK1249
NCBITaxon:1000590	Staphylococcus epidermidis 14.1.R1.SE
NCBITaxon:1000935	Anaplasma marginale str. Florida Relapse
NCBITaxon:1000936	Anaplasma marginale str. Okeechobee
NCBITaxon:1000937	Anaplasma marginale str. Washington Okanogan
NCBITaxon:1000938	Anaplasma marginale str. Oklahoma
NCBITaxon:1000939	Anaplasma marginale str. South Idaho
NCBITaxon:1000950	Vibrio cholerae HC-55C1
NCBITaxon:1000951	Vibrio cholerae HC-81A2
NCBITaxon:1000952	Vibrio cholerae HC-17A2
NCBITaxon:1000953	Vibrio cholerae HC-72A2
NCBITaxon:1001	Garritya polymorpha
NCBITaxon:1001223	Avibacterium paragallinarum 72C
NCBITaxon:1001224	Avibacterium paragallinarum 72C1
NCBITaxon:1001240	Cryobacterium roopkundense
NCBITaxon:100133	Sporobacterium olearium
NCBITaxon:100134	Anaerocolumna xylanovorans
NCBITaxon:1001530	Photobacterium leiognathi subsp. mandapamensis svers.1.1.
NCBITaxon:1001534	Francisella tularensis subsp. tularensis TI0902
NCBITaxon:1001582	Bacillus amyloliquefaciens LL3
NCBITaxon:1001585	Ectopseudomonas mendocina NK-01
NCBITaxon:1001586	Leptospira interrogans serovar Bulgarica str. Mallika
NCBITaxon:1001587	Leptospira interrogans serovar Pomona str. Pomona
NCBITaxon:1001588	Leptospira interrogans str. 2002000621
NCBITaxon:1001589	Leptospira weilii str. 2006001853
NCBITaxon:1001590	Leptospira interrogans str. 2006001854
NCBITaxon:1001591	Leptospira interrogans str. C10069
NCBITaxon:1001592	Leptospira santarosai str. 2000027870
NCBITaxon:1001593	Leptospira noguchii str. 2006001870
NCBITaxon:1001594	Leptospira interrogans serovar Australis str. LT2148
NCBITaxon:1001595	Leptospira noguchii serovar Panama str. CZ214
NCBITaxon:1001596	Leptospira interrogans serovar Djasiman str. LT1649
NCBITaxon:1001597	Leptospira interrogans serovar Canicola str. LT1962
NCBITaxon:1001598	Leptospira interrogans serovar Copenhageni str. LT2050
NCBITaxon:1001599	Leptospira interrogans serovar Grippotyphosa str. LT2186
NCBITaxon:1001601	Leptospira interrogans serovar Zanoni str. LT2156
NCBITaxon:1001602	Leptospira interrogans serovar Copenhageni str. Fiocruz LV2756C6
NCBITaxon:1001603	Leptospira interrogans serovar Copenhageni str. Fiocruz R154
NCBITaxon:1001704	Mycobacteroides abscessus subsp. bolletii 1S-151-0930
NCBITaxon:1001705	Mycobacteroides abscessus subsp. bolletii 1S-152-0914
NCBITaxon:1001706	Mycobacteroides abscessus subsp. bolletii 1S-153-0915
NCBITaxon:1001707	Mycobacteroides abscessus subsp. bolletii 1S-154-0310
NCBITaxon:1001708	Mycobacteroides abscessus subsp. bolletii 2B-0626
NCBITaxon:1001709	Mycobacteroides abscessus subsp. bolletii 2B-1231
